Model,o1-mini,GPT-3.5-Turbo,Llama-3-8B,GPT-4o-mini,Claude-3-Sonnet,grok-beta,Claude-3.7-Sonnet,DeepSeek-Distill-Qwen-32b,Qwen-Turbo,GPT-4o,grok2-1212,Gemini Flash 1.5,Perplexity: Llama 3.1 Sonar 8B Online,Claude-3-Opus,Gemini Pro 1.5,o1,Qwen-Plus,Qwen-Max,o3-mini-high,Perplexity: Llama 3.1 Sonar 405B Online,DeepSeek-R1-Full,Claude-3.7-Sonnet-thinking,Perplexity: Llama 3.1 Sonar 70B,Median Grade,Percentage
grok2-1212,A- (90),A- (90),A- (90),A- (90),A (93),A- (90),B+ (87),A- (90),A (93),B+ (87),---,B- (80),A- (90),A (93),B+ (87),A- (90),N/A (0),A- (90),A- (90),A- (90),A (93),A- (90),A- (90),A-,90
Gemini Flash 1.5,B+ (87),A- (90),A- (90),B+ (87),A (93),N/A (0),B+ (87),A (93),A (93),B+ (87),B+ (87),---,B+ (87),A- (90),B+ (87),A- (90),A- (90),B+ (87),A (93),A- (90),A- (90),B (83),A- (90),A-,90
Perplexity: Llama 3.1 Sonar 8B Online,B+ (87),A- (90),A (93),B+ (87),A (93),B+ (87),B+ (87),B+ (87),A- (90),B (83),B+ (87),B- (80),---,A- (90),B (83),A- (90),A- (90),B+ (87),B+ (87),B+ (87),A- (90),B (83),B+ (87),B+,87
Claude-3-Opus,A (93),A- (90),B+ (87),B+ (87),A (93),A- (90),B+ (87),A (93),B (83),B+ (87),B+ (87),B- (80),A- (90),---,B- (80),A- (90),B+ (87),A- (90),A- (90),A- (90),A- (90),B (83),A- (90),A-,90
Gemini Pro 1.5,B+ (87),A- (90),A- (90),B+ (87),A- (90),A- (90),B+ (87),B+ (87),B+ (87),B+ (87),B+ (87),B- (80),B+ (87),B+ (87),---,A (93),A- (90),B+ (87),A- (90),B+ (87),A- (90),B (83),A- (90),B+,87
o1,B+ (87),A- (90),B+ (87),B+ (87),A (93),B+ (87),B+ (87),B (83),B+ (87),A- (90),A- (90),B (83),B+ (87),A (93),B+ (87),---,A- (90),A- (90),A- (90),A- (90),A- (90),B+ (87),A- (90),B+,88
Qwen-Plus,A (93),A- (90),B+ (87),A- (90),A (93),B+ (87),B+ (87),A (93),A (93),A (93),A- (90),B- (80),B+ (87),A (93),B+ (87),A- (90),---,A- (90),A- (90),A- (90),A- (90),A- (90),A- (90),A-,90
Qwen-Max,A- (90),A- (90),B+ (87),A- (90),A- (90),A- (90),B+ (87),A- (90),B+ (87),A- (90),A- (90),B- (80),A- (90),A- (90),A- (90),A- (90),A- (90),---,A- (90),A- (90),A- (90),B+ (87),A- (90),A-,90
o3-mini-high,A- (90),A (93),A- (90),B+ (87),A (93),A- (90),A- (90),B+ (87),A (93),A- (90),A- (90),B (83),A- (90),A- (90),B+ (87),A- (90),A- (90),B (83),---,A- (90),A- (90),A- (90),A- (90),A-,90
Perplexity: Llama 3.1 Sonar 405B Online,A- (90),A (93),B+ (87),B+ (87),A (93),B+ (87),B+ (87),B (83),B+ (87),B+ (87),B+ (87),B- (80),A- (90),B+ (87),B- (80),A- (90),B+ (87),B (83),B+ (87),---,A- (90),B- (80),B+ (87),B+,87
DeepSeek-R1-Full,A- (90),A- (90),B+ (87),B+ (87),A (93),B+ (87),A- (90),A- (90),B+ (87),B+ (87),A- (90),B- (80),B+ (87),A (93),A- (90),A- (90),A- (90),A- (90),A- (90),A- (90),---,A- (90),A- (90),A-,90
Claude-3.7-Sonnet-thinking,A- (90),A (93),B+ (87),B+ (87),A- (90),A- (90),B+ (87),B+ (87),A- (90),B+ (87),A- (90),B- (80),B+ (87),A (93),B+ (87),A- (90),A- (90),B+ (87),A- (90),A- (90),A (93),---,A- (90),A-,90
Perplexity: Llama 3.1 Sonar 70B,A- (90),A- (90),N/A (0),B+ (87),A- (90),B+ (87),B+ (87),B+ (87),A- (90),B+ (87),A- (90),B- (80),B+ (87),A (93),B- (80),A- (90),N/A (0),B+ (87),A- (90),N/A (0),A- (90),B+ (87),---,B+,87
