Model,GPT-3.5-Turbo,Llama-3-8B,o1-mini,o3-mini-high,GPT-4o-mini,Claude-3-Sonnet,Claude-3.7-Sonnet,Perplexity: Llama 3.1 Sonar 8B Online,Qwen-Turbo,GPT-4o,Qwen-Plus,Claude-3-Opus,Gemini Flash 2.0,o1,grok2-1212,Gemini Pro 1.5,grok-beta,DeepSeek-Distill-Qwen-32b,Perplexity: Llama 3.1 Sonar 70B,Qwen-Max,Claude-3.7-Sonnet-thinking,DeepSeek-R1-Full,Median Grade,Percentage
Qwen-Plus,A- (90),B+ (87),A- (90),B (83),B+ (87),A (93),B+ (87),B+ (87),B+ (87),B+ (87),A- (90),A- (90),B+ (87),A- (90),B+ (87),B (83),B+ (87),B+ (87),B+ (87),B (83),B+ (87),B+ (87),B+,87
Claude-3-Opus,A (93),B+ (87),B+ (87),A- (90),B+ (87),A (93),B+ (87),B+ (87),A- (90),B+ (87),A- (90),A- (90),B+ (87),A- (90),A- (90),B (83),B+ (87),B+ (87),A- (90),B+ (87),A- (90),A- (90),B+,88
Gemini Flash 2.0,A- (90),B+ (87),A- (90),B+ (87),B+ (87),A- (90),B+ (87),A- (90),B+ (87),B (83),A- (90),A- (90),B+ (87),A- (90),A- (90),B (83),A- (90),B+ (87),A- (90),A- (90),B+ (87),A (93),A-,90
o1,A- (90),B+ (87),A- (90),A- (90),A- (90),A- (90),A- (90),B+ (87),B+ (87),B+ (87),A- (90),A (93),B (83),A- (90),A- (90),B- (80),B+ (87),B+ (87),A- (90),B+ (87),B+ (87),A- (90),A-,90
grok2-1212,A- (90),B+ (87),A- (90),A- (90),B+ (87),A- (90),A- (90),B+ (87),A- (90),A- (90),N/A (0),A (93),B+ (87),A- (90),A- (90),A- (90),A- (90),A- (90),A- (90),N/A (0),B+ (87),A- (90),A-,90
Gemini Pro 1.5,A- (90),B+ (87),A- (90),A- (90),B (83),A (93),B (83),B+ (87),A- (90),A- (90),A- (90),B+ (87),B (83),A- (90),A (93),B+ (87),A- (90),B+ (87),A- (90),B+ (87),B+ (87),A- (90),A-,90
grok-beta,A (93),A- (90),A (93),B+ (87),B+ (87),A (93),B+ (87),B+ (87),A (93),B+ (87),A- (90),A (93),B+ (87),A- (90),A- (90),B (83),B+ (87),B+ (87),A- (90),A- (90),B+ (87),A- (90),A-,90
DeepSeek-Distill-Qwen-32b,A- (90),B+ (87),B+ (87),B (83),B+ (87),B+ (87),B- (80),B+ (87),B+ (87),B+ (87),B+ (87),B+ (87),B- (80),A- (90),B+ (87),B- (80),B+ (87),B+ (87),B+ (87),B+ (87),C+ (77),B+ (87),B+,87
Perplexity: Llama 3.1 Sonar 70B,A (93),B+ (87),B+ (87),A- (90),A- (90),A- (90),B+ (87),B+ (87),A (93),A- (90),A- (90),A (93),B+ (87),A- (90),B+ (87),B+ (87),B+ (87),B+ (87),A- (90),A- (90),B+ (87),A- (90),A-,90
Qwen-Max,A (93),B+ (87),A (93),A- (90),B+ (87),A (93),A- (90),B+ (87),A- (90),B+ (87),A- (90),A- (90),B+ (87),A- (90),A- (90),A- (90),B+ (87),A (93),A- (90),A- (90),A- (90),A- (90),A-,90
Claude-3.7-Sonnet-thinking,A- (90),B+ (87),A- (90),A- (90),B+ (87),A- (90),A- (90),B+ (87),A- (90),B+ (87),A- (90),A- (90),B (83),A (93),B+ (87),B (83),B+ (87),B+ (87),B+ (87),A- (90),A- (90),A- (90),A-,90
DeepSeek-R1-Full,A (93),B+ (87),A- (90),A- (90),B+ (87),A (93),A- (90),A- (90),A- (90),A- (90),A- (90),A- (90),C (73),A- (90),A- (90),B+ (87),B+ (87),A (93),A- (90),A- (90),A- (90),A- (90),A-,90
