Model,Llama-3-8B,GPT-4o-mini,Qwen-Turbo,grok-beta,GPT-3.5-Turbo,grok2-1212,Claude-3.7-Sonnet,Claude-3-Sonnet,GPT-4o,Claude-3-Opus,Qwen-Plus,Gemini Flash 2.0,DeepSeek-Distill-Qwen-32b,o1,Perplexity: Llama 3.1 Sonar 8B Online,o1-mini,o3-mini-high,Gemini Pro 1.5,Qwen-Max,Perplexity: Llama 3.1 Sonar 70B,Claude-3.7-Sonnet-thinking,DeepSeek-R1-Full,Median Grade,Percentage
Qwen-Plus,B+ (87),B (83),A- (90),B+ (87),A (93),B+ (87),B+ (87),A- (90),B+ (87),B+ (87),---,B (83),A (93),A- (90),B+ (87),B+ (87),A- (90),B- (80),A- (90),A- (90),B- (80),B (83),B+,87
Gemini Flash 2.0,B+ (87),B+ (87),B+ (87),B+ (87),A (93),B+ (87),B+ (87),B+ (87),B (83),B+ (87),B+ (87),---,A- (90),A- (90),B+ (87),A- (90),A- (90),B- (80),B+ (87),A- (90),N/A (0),B (83),B+,87
DeepSeek-Distill-Qwen-32b,B+ (87),B (83),B+ (87),A (93),A (93),B+ (87),B (83),A- (90),B+ (87),A- (90),B+ (87),B- (80),---,A- (90),B+ (87),B+ (87),A- (90),B- (80),B (83),B+ (87),B- (80),B+ (87),B+,87
o1,N/A (0),B+ (87),A- (90),B+ (87),A (93),A- (90),B+ (87),A (93),A- (90),A- (90),B+ (87),B+ (87),B+ (87),---,A- (90),A- (90),A- (90),B+ (87),B+ (87),A- (90),B+ (87),B+ (87),B+,87
Perplexity: Llama 3.1 Sonar 8B Online,B+ (87),B+ (87),B (83),B- (80),A- (90),B+ (87),B (83),A- (90),B+ (87),B (83),A- (90),B- (80),B+ (87),A- (90),---,B+ (87),A- (90),B- (80),B+ (87),A- (90),B (83),B+ (87),B+,87
o1-mini,B+ (87),B+ (87),A- (90),B+ (87),A (93),B+ (87),B+ (87),A (93),A- (90),B+ (87),A- (90),B+ (87),A- (90),A- (90),A- (90),---,A- (90),B- (80),B+ (87),A- (90),B+ (87),B+ (87),B+,87
o3-mini-high,A+ (100),B+ (87),A- (90),B+ (87),A (93),B+ (87),B+ (87),A- (90),A- (90),B+ (87),B+ (87),B+ (87),A- (90),A- (90),B+ (87),B+ (87),---,B+ (87),B+ (87),A- (90),B+ (87),B+ (87),B+,87
Gemini Pro 1.5,B+ (87),B+ (87),B+ (87),B (83),A (93),B+ (87),B+ (87),A- (90),A- (90),B+ (87),A- (90),B- (80),B+ (87),A- (90),B+ (87),B+ (87),B+ (87),---,B+ (87),A- (90),B- (80),B+ (87),B+,87
Qwen-Max,A- (90),B+ (87),B+ (87),B+ (87),A (93),B (83),B+ (87),A- (90),A- (90),A- (90),A- (90),B+ (87),B+ (87),A- (90),A- (90),A- (90),A- (90),B- (80),---,A- (90),B (83),B+ (87),A-,90
Perplexity: Llama 3.1 Sonar 70B,B+ (87),B (83),A- (90),B (83),A (93),B+ (87),B- (80),A- (90),B+ (87),B+ (87),A- (90),B- (80),B (83),A- (90),B+ (87),B+ (87),B (83),C+ (77),B (83),---,B (83),B- (80),B+,87
Claude-3.7-Sonnet-thinking,B+ (87),B+ (87),B+ (87),B+ (87),A- (90),A- (90),B+ (87),A (93),A- (90),B+ (87),A- (90),B+ (87),B (83),A- (90),B+ (87),B+ (87),A- (90),A- (90),B+ (87),A (93),---,N/A (0),B+,87
DeepSeek-R1-Full,A- (90),B+ (87),A- (90),A- (90),A- (90),B+ (87),A- (90),A- (90),A- (90),B+ (87),A- (90),B- (80),B+ (87),A- (90),A- (90),A- (90),A- (90),B+ (87),B+ (87),B+ (87),B+ (87),---,A-,90
